duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,label
102,udp,dns,REJ,43879,34020,1,1,0,2,4,0,0,1,0,7,2,0,5,0.0,0,1,141,31,0.6122757656938724,0.7502607940873155,0.24881902701993186,0.7882009298667061,0.9665589185551432,0.2994577239342546,0.1692030516772518,224,25,0.4162849285443547,0.753813712978369,0.557424744670142,0.17127341066623958,0.7075228189780428,0.8111626038791322,0.4401207709849362,0.7815231295330671,1
435,icmp,ftp,REJ,10789,20587,1,2,1,6,2,1,6,1,0,6,9,1,5,0.0,0,0,316,333,0.016675813489839153,0.27450667350707825,0.40788960850728007,0.024041237366437818,0.44073904108426354,0.2688569129041717,0.1875272229121666,126,114,0.448851365652003,0.21905917305988332,0.25602117306151306,0.7416378186176209,0.031174909111921223,0.03282549881924013,0.09113733908970723,0.9308076723447618,0
860,icmp,ssh,SF,44165,41131,1,2,0,5,1,0,9,1,0,6,0,2,7,0.0,0,1,198,376,0.19477349768722585,0.6246639742837168,0.27963631849320625,0.5341396961356972,0.2604031087879084,0.9979774555582603,0.010551636815900545,192,128,0.5990110442135675,0.4430399766351608,0.6508279504893281,0.30264034063681455,0.8701966904922421,0.4678594626341599,0.7186037406901956,0.24575031218588783,1
270,icmp,smtp,S0,12999,9650,1,0,1,6,2,0,4,1,0,5,8,2,4,0.0,1,0,45,145,0.810468217215466,0.08116422446371452,0.13637032746756583,0.6883384115465648,0.83839963809219,0.8581389250266543,0.09142626886170924,114,55,0.07173534374742496,0.6178131945892864,0.11627368029288065,0.6623718599127535,0.13865252911330372,0.6466211336575554,0.2137366879819107,0.5769591501209791,0
106,icmp,ftp,SF,814,19933,0,0,2,4,1,0,4,0,1,4,5,0,2,0.0,1,1,287,155,0.2726506473124847,0.4522024791035387,0.7280122577961974,0.748698478439155,0.7156207169717858,0.40793781836784104,0.556838694690241,5,252,0.22675861740051595,0.7699736182066009,0.5364103830800304,0.15828305069937365,0.127311878746725,0.8300326836280747,0.19695363020872136,0.27454458474044463,0
71,tcp,smtp,S0,49497,20581,1,1,2,5,2,1,0,0,1,3,8,2,2,0.0,0,1,14,412,0.7315621195611339,0.7390914219929531,0.8131476551679849,0.21314211931393667,0.6869414350035103,0.9802612078164991,0.8918731300084098,17,121,0.931490386918926,0.10395937591238957,0.43714810504503465,0.6881176592063503,0.17567229796858452,0.04927365358277147,0.41275832027739345,0.8240944904843742,1
700,icmp,http,REJ,10541,23393,0,2,2,4,4,0,8,1,1,2,6,0,5,0.0,0,1,43,15,0.3721202152416987,0.6865139430432525,0.25747897614372484,0.8671773544513522,0.8931137413224726,0.6501132234192136,0.28716476513055744,9,105,0.9084101072685695,0.9623653164545284,0.2678735828174408,0.12818807281046174,0.9602663584920665,0.8524388856418731,0.22777834161780142,0.005324190571064258,0
20,udp,ftp,REJ,24938,23051,1,2,1,6,4,0,6,1,0,2,0,1,1,0.0,1,0,400,354,0.5218843281579432,0.8150721006758068,0.7744194946063033,0.9558431471751637,0.6894171338713246,0.7420224518797602,0.32774722589612815,91,129,0.7812906474056922,0.890220670554556,0.6040049977395001,0.4253564962699836,0.693169360253846,0.5484009367419117,0.5838582673080154,0.5648191628863961,0
614,tcp,ssh,SF,2443,26212,1,0,2,1,4,1,7,1,1,5,0,1,5,0.0,1,0,168,46,0.0679732998194037,0.8774521266031688,0.38555356440131383,0.23671530584486977,0.28379794304154915,0.03151304308221159,0.1156056106115122,138,80,0.019401245618215435,0.27034859049558435,0.8713335923402825,0.24720607373887682,0.8013715354636367,0.19731397057605993,0.3714633393344715,0.339203431271918,1
121,udp,ftp,SF,10457,49082,0,2,0,4,3,0,8,0,0,3,5,1,5,0.0,1,1,309,250,0.18122556104970955,0.7731835012587582,0.5066857908540028,0.8826154575172458,0.6938631618757323,0.1216052593480571,0.38863094560710276,224,157,0.3270067684961021,0.822760243032332,0.9989046997630767,0.7483752494281826,0.397634985732753,0.3172552164497,0.4489117225927901,0.32268370707782024,1
466,udp,ftp,S0,10380,4090,1,0,2,5,0,0,5,1,1,5,4,2,7,0.0,1,1,494,186,0.9571969635192346,0.671587742938926,0.8560010748931528,0.09697876251609538,0.30581351128366396,0.6330851264962384,0.03722170456932916,192,119,0.6279587353429078,0.5183239230398234,0.6077627687434245,0.26203500450687456,0.33631272750495556,0.28192955175156076,0.5371693216040289,0.644906323864917,1
214,udp,ftp,S0,7783,6960,1,1,2,5,4,1,4,0,1,2,8,0,6,0.0,0,0,43,30,0.890138053446914,0.03172249181603115,0.7499536818024078,0.055706836115245184,0.759238979656995,0.8990239826494839,0.9176006962619002,76,230,0.2751902117734757,0.46180648156201864,0.40470587432917016,0.8817173063953962,0.23448400678316994,0.5308590342884758,0.20353552248180484,0.8514844493139939,0
330,icmp,ftp,SF,44241,35772,0,0,2,4,1,1,5,1,0,3,1,1,7,0.0,1,0,97,259,0.6522751108990502,0.534966673409444,0.8051168513161777,0.12922380010274936,0.619747854491566,0.6237437260875957,0.6731113481245287,100,198,0.9095866950537773,0.3144341058114054,0.2252071002162016,0.8918202114066128,0.48064802831240894,0.05168567991113182,0.1557516228655298,0.6091953913933262,0
458,icmp,smtp,S0,17368,21520,1,2,0,9,4,1,1,0,0,8,7,0,8,0.0,1,0,260,420,0.4596445973857374,0.03769772491485279,0.13684516658635681,0.057741079467035994,0.07741155198475058,0.13402489431899178,0.9907488093932189,83,51,0.6338894618324419,0.5809685866315925,0.25709608939511175,0.19644131522278585,0.5518287335341685,0.15853615849992353,0.8804219028736048,0.8531729786467225,0
87,tcp,http,SF,15328,49481,1,1,1,6,3,1,3,1,1,4,4,1,5,0.0,1,0,108,16,0.6757612928952238,0.8080678171160226,0.06971942583372948,0.8450122371557759,0.512835362435142,0.11576004624632463,0.8828231626784937,192,90,0.0719067173164456,0.7298891177035978,0.4794549781497657,0.6138459450077243,0.6317748436527554,0.8126930433757824,0.43372370283142103,0.26459711188102997,1
372,tcp,dns,S0,26215,36408,1,0,0,9,1,0,2,0,1,6,1,2,2,0.0,1,0,282,38,0.618610289093939,0.3207245244599576,0.8934047290879871,0.05905014445827195,0.34330096919574093,0.8441858958240817,0.47299059369815266,51,136,0.909005588835703,0.41093290496275825,0.36727770128070925,0.08771764171996432,0.2571185039986945,0.13260399074681106,0.41209360963253916,0.5195018547649811,0
